year,quarter,level,entity,registered_users
2019,1,states,gujarat,6652536
2019,1,states,madhya pradesh,6414403
2019,1,states,tamil nadu,6296303
2019,1,districts,bengaluru urban,5003207
2019,1,districts,pune,3038402
2019,1,districts,jaipur,2060175
2019,1,districts,mumbai suburban,1901210
2019,1,districts,thane,1834051
2019,1,districts,hyderabad,1638436
2019,1,districts,rangareddy,1470874
2019,1,districts,ahmadabad,1450100
2019,1,districts,medchal malkajgiri,1279531
2019,1,districts,surat,1180819
2019,1,pincodes,201301,301260
2019,1,pincodes,110059,246566
2019,1,pincodes,560068,237280
2019,1,pincodes,500072,221180
2019,1,pincodes,110092,206805
2019,1,pincodes,122001,194366
2019,1,pincodes,110086,158267
2019,1,pincodes,560078,157977
2019,1,pincodes,395006,157558
2019,1,pincodes,560076,157367
2019,2,states,maharashtra,18776975
2019,2,states,uttar pradesh,14316349
2019,2,states,karnataka,11968087
2019,2,states,andhra pradesh,9389003
2019,2,states,telangana,9046007
2019,2,states,rajasthan,8783935
2019,2,states,west bengal,8612795
2019,2,states,gujarat,7574645
2019,2,states,tamil nadu,7429609
2019,2,states,madhya pradesh,7301172
2019,2,districts,bengaluru urban,5694165
2019,2,districts,pune,3514081
2019,2,districts,jaipur,2290462
2019,2,districts,mumbai suburban,2151657
2019,2,districts,thane,2118406
2019,2,districts,hyderabad,1856926
2019,2,districts,ahmadabad,1656341
2019,2,districts,rangareddy,1651300
2019,2,districts,medchal malkajgiri,1428880
2019,2,districts,surat,1338584
2019,2,pincodes,201301,336709
2019,2,pincodes,110059,274593
2019,2,pincodes,560068,263531
2019,2,pincodes,500072,242007
2019,2,pincodes,110092,228546
2019,2,pincodes,122001,217913
2019,2,pincodes,421302,182371
2019,2,pincodes,395006,180042
2019,2,pincodes,560078,178837
2019,2,pincodes,110086,177199
2019,3,states,maharashtra,21313081
2019,3,states,uttar pradesh,16044607
2019,3,states,karnataka,13635075
2019,3,states,andhra pradesh,10458693
2019,3,states,telangana,10090557
2019,3,states,rajasthan,9797304
2019,3,states,west bengal,9643222
2019,3,states,gujarat,8429299
2019,3,states,tamil nadu,8428835
2019,3,states,madhya pradesh,8180664
2019,3,districts,bengaluru urban,6383771
2019,3,districts,pune,4004991
2019,3,districts,jaipur,2520933
2019,3,districts,mumbai suburban,2407754
